INC,BJP,AAP,AIADMK,BJD,INLD,PDP,LJP,AGP,AIUDF,BSP,CPI,DMK,NCP,RJD,SAD,Shivsena,SP,TDP,TMC,TRS,YSRCP,SwarajIndia,JKNC,CPI(M),JMM,JD(S),MDMK,MPP,MNM,JKPDP,JD(U),JVM,SKM,SDF,PPA,AINRC,DMDK,LDF,AIMIM,JJP,NDPP,NPF,UDP,MNF,GFP
INC,BJP,AAP,AIADMK,BJD,INLD,PDP,LJP,AGP,AIUDF,BSP,CPI,DMK,NCP,RJD,SAD,Shivsena,SP,TDP,TMC,TRS,YSRCP,SwarajIndia,JKNC,CPI(M),JMM,JD(S),MDMK,MPP,MNM,JKPDP,JD(U),JVM,SKM,SDF,PPA,AINRC,DMDK,LDF,AIMIM,JJP,NDPP,NPF,UDP,MNF,GFP
INC,BJP,AAP,AIADMK,BJD,RAM PAL,Aga Syed Mohsin,Veena Devi,ZABED ISLAM,RADHESHYAM BISWAS,BSP,CPI,DMK,NCP,RJD,SAD,Shivsena,SP,TDP,TMC,TRS,YSRCP,SwarajIndia,JKNC,CPI(M),Shukal Murmu,JD(S),MDMK,APPALAKONDA VANGALAPUDI,MNM,JKPDP,BAIDYANATH PRASAD MAHTO,Pradeep Yadav,INDRA HANG SUBBA,DEK BAHADUR KATWAL,SUBU KECHI,Dr. NARAYANASAMY KESAVAN,ALAGAAPURAM R. MOHANRAJ,Thomas Chazhikadan,AIMIM,JJP,Tokheho Yepthomi,Lorho S. Pfoze,JEMINO MAWTHOH,C LALROSANGA,GFP
Rahul,Modi,Kejriwal,ADMK,Naveen Patnaik,ARJUN SINGH CHAUTALA,MUJEEB RAHMAN T A,PASHU PATI KUMAR PARAS,Kumar Deepak Das,BADRUDDIN AJMAL,Mayawati,D. Raja,Stalin,Sharad Pawar,Lalu,Parkash Singh Badal,Uddhav Thackeray,Amitabh Bajpai,CBN,Mamata,K. Chandrashekar Rao,YSR Congress,,JKN,Pinarayi Vijayan,MANJU MURMU,HD Kumaraswamy,Vaiko,DATLA LURDU MARY,Kamal Haasan,Mehbooba Mufti,Sunil Kumar Pintu,BABU LAL MARANDI,TEK NATH DHAKAL,PREM DAS RAI,Mongol Yomso,R. RADHAKRISHNAN,Sudhish L K,JOSE K. MANI,Akbaruddin Owaisi,Dushyant Chautala,,SOSO LORHO,PAUL LYNGDOH,,Vijai Sardesai
Rahul Gandhi,Narendra Modi,Arvind Kejriwal,Jayalalithaa,Bijoyshree Routray,Charanjeet Singh Rori,VARKALA RAJ,Ramchandra Paswan,Moni Madhab Mahanta,Rafiqul Islam,Satish Chandra Misra,Sitaram Yechury,M. K. Stalin,Ajit Pawar,Lalu Prasad Yadav,Sukhbir Singh Badal,Aaditya Thackeray,Arun Kumar Verma,Naidu,Mamata Banerjee,KCR,Perni Venkataramaiah,,Omar Abdullah,Biman Bose,RAJKISHORE PRASAD ALIAS PAPPU YADAV,HD Deve Gowda,,CHINA NAGESWARA RAO SADHU,Makkal Needhi Maiam,Mehbooba,Ramprit Mandal,DR. ANIL MURMU,,,JALLEY SONAM,,DR.Elangovan. V,KEC(M),Asaduddin Owaisi,,,NEIPHIU RIO,,,
Sonia Gandhi,Amit Shah,Manish Sisodia,M. G. Ramachandran (MGR),Prasanna Acharya,SURESH KOTH,,Choudhary Mehboob Ali Kaiser,RABINDRA NATH CHOUDHURY,RADHESHYAM BISWAS,Naseemuddin Siddiqui,Sudhakar Reddy,M. Karunanidhi,Pawar,Tejashwi Yadav,Prakash Singh Badal,Eknath Shinde,Atul Pradhan,TDP,Abhishek Banerjee,K. T. Rama Rao,Kolusu Parthasarathy,,Farooq Abdullah,Buddhadeb Bhattacharjee,AJIT KUMAR,JDS,,PALLIPATTU. ABHINAV VISHNU,,,Dileshwar Kamait,BABU LAL MARANDI,,,WANGMAN LOWANGCHA,,"ALAGARSAMY, R.",,Majlis,,,,,,
Sonia,Rajnath Singh,Kumar Vishwas,Edappadi K. Palaniswami (EPS),Pramila Mallick,Dharmvir Padha,,Chandan Singh,BIJOY KRISHNA NATH,KUTUB AHMED MAZUMDER,Rakesh Verma,K. Narayana,Stalin,NCP,Rabri Devi,Harcharan Singh Brar,Sanjay Raut,Bhagwan Sharma,Chandrababu Naidu,Subrata Bakshi,KTR,G Srikanth Reddy,,MOHAMMAD AKBAR LONE,CPM,VIJAY KUMAR HANSDAK,Deve Gowda,,,,,Syed Mahmood Ashraf,PRADIP YADAV,,,,,YUVARAJ.V,,All India Majlis-E-Ittehadul Muslimeen,,,,,,
Manmohan Singh,Arun Jaitley,Gopal Rai,O. Panneerselvam (OPS),Arun Sahoo,SURENDER KUMAR CHHIKARA,,CHIRAG KUMAR PASWAN,ANOWAR HUSSAIN,BADRUDDIN AJMAL,Swami Prasad Maurya,Binoy Viswam,Karunanidhi,Nationalist Congress Party,Tej Pratap Yadav,Sukhdev Singh Dhindsa,Anil Desai,Bhagwati Prasad Choudhary,N. T. Rama Rao,Derek O'Brien,Kavitha Kalvakuntla,Adimulapu Suresh,,Farooq Abdullah,,SHIBU SOREN,Kumaraswamy,,,,,DULAL CHANDRA GOSWAMI,NILAM DEVI,,,,,SOUNDARAPANDIAN .M,,Owaisi,,,,,,
Cong,Atal Bihari Vajpayee,Sanjay Singh,V. K. Sasikala,Naba Kishore Das,DHARAMVIR,,Prince Raj,PHANI BHUSAN CHOUDHURY,SIRAJ UDDIN AJMAL,Akhilesh Das Gupta,T.J. Chandrachoodan,Kanimozhi Karunanidhi,Supriya Sule,Misa Bharti,Balwinder Singh Bhunder,Arvind Sawant,Bhagwati Singh,NTR,Firhad Hakim,Harish Rao,Pushpa Srivani,,HASNAIN MASOODI,,Jagarnath Mahto,,,,,,SANTOSH KUMAR,PRANAV KUMAR VERMA,,,,,CONSTANDINE RAVINDRAN,,,,,,,,
Manmohan,L.K. Advani,Satyendar Jain,D. Jayakumar,Sanjay Das Burma,Balwan Singh,,RAMA KISHORE SINGH,BIRENDRA PRASAD BAISHYA,GOPI NATH DAS,Munquad Ali,Annie Raja,Dayanidhi Maran,NCP chief,Jagadanand Singh,Ranjit Singh Brahmpura,Subhash Desai,Bhagwat Sharan Gangwar,N. Chandrababu Naidu,Partha Chatterjee,Etela Rajender,Anil Kumar Yadav,,SHARIEF UD-DIN SHARIQ,,Champai Soren,,,,,,Dinesh Chandra Yadav,SABA AHMAD,,,,,UMASANKAR K,,,,,,,,
