State,Party,Voteshare_Difference
Andhra Pradesh,BJP,0.1116597093266668
Andhra Pradesh,BSP,0.0043619737449195
Andhra Pradesh,CPI,-0.0006407467911355
Andhra Pradesh,CPI(M),0.0026433074525020004
Andhra Pradesh,INC,0.015187590944461999
Andhra Pradesh,SP,-5.018055016540001e-05
Andhra Pradesh,TDP,-0.023002156137632124
Andhra Pradesh,YSRCP,-0.11015949798961722
Arunachal Pradesh,BJP,-0.04606620638680958
Arunachal Pradesh,INC,0.15030246921440837
Arunachal Pradesh,JD(S),-0.1042362628275988
Assam,AAP,0.0098761950714948
Assam,AGP,0.0750461270871315
Assam,AIUDF,-0.036093392230119
Assam,BJP,-0.01512991325424562
Assam,CPI,-0.0011981844446680998
Assam,CPI(M),0.0024974837268772
Assam,INC,-0.03310824353093367
Assam,NCP,-0.0008224152910382
Assam,SP,-0.0001780032369249
Assam,TMC,-0.0008896538975738996
Bihar,AAP,-0.0009276298965675
Bihar,BJP,-0.048481416260353905
Bihar,BSP,0.002218360797533698
Bihar,CPI,0.007647035366851599
Bihar,CPI(M),0.0107157822768503
Bihar,INC,0.012370803175876105
Bihar,JD(U),-0.0668116494241778
Bihar,JMM,-0.0010945869583048
Bihar,NCP,-0.0013833027611987
Bihar,RJD,0.08833028727424452
Bihar,SP,-0.0001022106448927
Bihar,Shiv Sena,-0.0022869498754172
Bihar,TMC,-0.0001945230704432
Chandigarh,AAP,-0.0315655900481695
Chandigarh,BJP,-0.04006719621464988
Chandigarh,BSP,-0.0016087098317796016
Chandigarh,INC,0.07324149609459901
Chhattisgarh,BJP,0.017436637851768855
Chhattisgarh,BSP,-0.012057615376624
Chhattisgarh,CPI,-0.00047712194996319974
Chhattisgarh,INC,-0.0009622960391325042
Chhattisgarh,Shiv Sena,-0.0039396044860489
Delhi,AAP,0.06178055668768301
Delhi,BJP,-0.021313366410304013
Delhi,BSP,-0.0038801081248150005
Delhi,INC,-0.03658708215256409
Goa,AAP,-0.0308918862274727
Goa,BJP,0.03429434255507646
Goa,BSP,0.0038908711376489
Goa,INC,-0.00516978882841268
Goa,Shiv Sena,-0.0021235386368399
Gujarat,AAP,0.0278972489727042
Gujarat,BJP,-0.012766299174046924
Gujarat,BSP,-0.0011153744327724
Gujarat,CPI,-0.0002069571898136
Gujarat,INC,-0.012880520391697015
Gujarat,NCP,-0.0009853471783543
Gujarat,SP,5.72493939801177e-05
Haryana,AAP,0.0365873660437462
Haryana,BJP,-0.12327706581597592
Haryana,BSP,-0.024276915422116796
Haryana,CPI,-0.0006122931759791
Haryana,CPI(M),-0.0007407751633227
Haryana,INC,0.1557651214379045
Haryana,INLD,-0.0016387148105131977
Haryana,JJP,-0.0412593590632268
Haryana,Shiv Sena,-0.0005473640305163
Himachal Pradesh,BJP,-0.1356597588165136
Himachal Pradesh,BSP,-0.0033859944431422996
Himachal Pradesh,CPI(M),-0.0039462629517504
Himachal Pradesh,INC,0.14299201621140645
Jharkhand,BJP,-0.0760957378593543
Jharkhand,BSP,-0.0022640300855941015
Jharkhand,CPI,-0.0020046195567620996
Jharkhand,CPI(M),-0.00025441627879199983
Jharkhand,INC,0.0442475130355916
Jharkhand,JMM,0.03767687428114422
Jharkhand,RJD,0.004626831009659996
Jharkhand,SP,-0.0001172394806412
Jharkhand,TMC,-0.0058151750652522
Karnataka,BJP,-0.07206001921813365
Karnataka,BSP,-0.0090632722357723
Karnataka,CPI,-0.0005201969084353
Karnataka,CPI(M),-0.0004425260889071
Karnataka,INC,0.12758704635283868
Karnataka,JD(S),-0.045067710624754696
Karnataka,Shiv Sena,-0.0004333212768356
Kerala,BJP,0.04155540665007662
Kerala,BSP,-2.17708163646e-05
Kerala,CPI,-0.0003685033944605953
Kerala,CPI(M),-0.006101639307334872
Kerala,INC,-0.03506349313191659
Lakshadweep,BJP,-0.0026647338463834
Lakshadweep,CPI,-0.0030484555202626
Lakshadweep,CPI(M),-0.0089535057238483
Lakshadweep,INC,0.5226574066885605
Lakshadweep,JD(U),-0.0286085825747724
Lakshadweep,NCP,-0.4793821290232937
Madhya Pradesh,BJP,0.015225303472513385
Madhya Pradesh,BSP,0.0095416986388157
Madhya Pradesh,CPI,-0.0010841032611387
Madhya Pradesh,CPI(M),-0.0002967999637241
Madhya Pradesh,INC,-0.020578467200541684
Madhya Pradesh,JD(U),-0.0001794485574224
Madhya Pradesh,SP,-0.0023470849135525
Madhya Pradesh,Shiv Sena,-0.0002810982149496
Maharashtra,BJP,0.10407831699209874
Maharashtra,BSP,0.0019484748709904989
Maharashtra,CPI,-0.0006329768661054
Maharashtra,CPI(M),-0.0019947164755838003
Maharashtra,INC,0.08604556341204297
Maharashtra,NCP,-0.12553846896729662
Maharashtra,SP,-0.0002716399603704
Maharashtra,Shiv Sena,-0.06363455300577578
Manipur,BJP,-0.24893760073161786
Manipur,CPI,-0.1226386562015404
Manipur,INC,0.37665271076574797
Manipur,JD(U),-0.002737564108674
Manipur,NCP,-0.0023388897239156
Meghalaya,BJP,-0.1046477948559511
Meghalaya,INC,0.22477358601568687
Meghalaya,TMC,0.0720164882850675
Meghalaya,UDP,-0.19214227944480317
Mizoram,BJP,0.009636128602942204
Mizoram,INC,0.3619599694557843
Mizoram,MNF,-0.3715960980587265
Nagaland,INC,0.04215678126133571
Nagaland,NDPP,-0.04215678126133571
Orissa,AAP,-0.0002874605192708
Orissa,BJD,-0.053602773058281095
Orissa,BJP,0.07413168623285499
Orissa,BSP,-0.0036233112463323006
